Y,X1,X2,X3
6,1,2,3
30,1,5,6
48,2,4,6
32,8,2,2
10,5,2,1
20584125,405,535,95
150204570,915,389,422
152309982,407,582,643
774931590,905,942,909
198438336,324,758,808
180323490,254,795,893
60949098,639,126,757
31393050,50,663,947
524620674,659,941,846
232074225,747,425,731
14513213,143,211,481
80622432,998,408,198
77692160,256,667,455
24955776,324,664,116
9136834,266,49,701
18075750,525,55,626
2919150,499,90,65
2162552,8,529,511
121825,443,55,5
13041000,45,315,920
11196570,385,262,111
280016707,739,527,719
17867520,192,165,564
13708800,136,288,350
462170940,770,922,651
360010560,728,634,780
1190000,680,125,14
86580263,803,211,511
100668540,353,291,980
145282878,169,978,879
50525304,149,852,398
96533430,210,677,679
227411040,899,930,272
13727840,49,680,412
33263874,369,274,329
195871200,280,786,890
109317142,914,131,913
146043976,806,934,194
10493808,312,251,134
187831920,755,852,292
20983956,42,562,889
7738832,82,188,502
115571456,328,728,484
49903490,155,427,754
115362780,676,367,465
4808160,120,756,53
26016848,572,137,332
41962869,587,117,611
106863900,795,286,470
98688312,993,303,328
89559723,631,187,759
19008750,625,111,274
238131936,402,602,984
93656472,732,259,494
92803068,414,323,694
13955031,111,549,229
3192864,948,842,4
34868700,516,255,265
7452864,64,227,513
89571936,678,359,368
38160,1,636,60
59617792,424,208,676
22384512,144,254,612
124489044,498,366,683
299562518,482,841,739
3349697,23,659,221
6783348,286,201,118
5180736,669,44,176
8639784,201,597,72
164032890,735,839,266
34765965,65,887,603
225029346,642,857,409
174939740,706,698,355
133100604,467,468,609
92090896,502,997,184
36961740,257,255,564
45877248,384,262,456
700235228,994,902,781
137206040,460,586,509
70990668,277,324,791
314541315,549,947,605
4331568,372,82,142
141146784,508,612,454
422735118,582,947,767
106488540,582,963,190
4519800,243,465,40
45623088,567,752,107
123344640,415,432,688
8942400,486,736,25
578189430,910,933,681
24259950,195,390,319
205030050,887,335,690
3425608,71,652,74
517920,415,208,6
79040448,432,579,316
190595556,843,498,454
173024538,563,782,393
89743360,448,313,640
8559408,516,52,319
70080660,871,90,894
27339228,87,348,903
200254887,427,487,963
101492652,291,446,782
8511696,244,612,57
8370528,92,669,136
4309920,657,8,820
107357680,461,568,410
390853788,489,809,988
4615380,44,185,567
163952100,780,865,243
27848450,502,317,175
26221216,304,854,101
221340,31,119,60
51068556,534,414,231
35081088,651,421,128
311298295,385,997,811
1278720,333,8,480
87000844,107,818,994
165576208,496,463,721
516268116,882,611,958
129643064,314,466,886
331874592,534,868,716
30333970,695,314,139
51827100,390,194,685
67365815,661,109,935
4935375,369,125,107
569702115,769,909,815
252878720,740,472,724
10925460,273,69,580
103565937,233,647,687
28190435,637,265,167
14551702,121,157,766
89094420,855,109,956
429306590,802,709,755
7633296,122,948,66
25091400,71,475,744
35526192,78,578,788
558950056,604,994,931
495265320,792,705,887
235781568,796,396,748
148227300,412,675,533
260161482,573,574,791
11251548,369,77,396
24351126,87,698,401
307833324,934,337,978
54027792,266,546,372
2416328,367,8,823
137317600,775,904,196
25180156,887,302,94
10808150,367,589,50
298841400,936,387,825
97449495,905,143,753
280835520,966,316,920
109057536,336,588,552
634195405,859,745,991
42054600,102,589,700
59385761,743,257,311
392812308,574,783,874
22527120,805,53,528
109444062,907,357,338
53266500,570,534,175
1613040,47,78,440
650146260,930,862,811
37318946,491,854,89
78773106,402,233,841
284389360,965,326,904
610877650,982,745,835
86577400,335,994,260
136683820,763,689,260
897288,49,872,21
106606320,680,159,986
86407506,733,118,999
7052616,108,634,103
213019008,356,736,813
5525960,661,20,418
